,tweet_id,sentiment,content,preprocessed_content
42,1956977624,worry,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,why do i have the feeling i should be packing and hitting for sfo around this time of the year i think im missing something
43,1956978410,worry,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",bed it time hope i go to school tomorrow all though i dont feel very well right now
44,1956978668,worry,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",ahh well i wa hoping that i could learn some stuff on the way why not you and i work on separate thing but also
45,1956979150,sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,im having a problem with my photo here in twitter amfcant see my face
46,1956979437,neutral,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",oh noooo if i blow a tire youre reaaaally going to have to send up some batman smoke
47,1956979756,neutral,wnna take a bath!!!!,wnna take a bath
48,1956979894,neutral,Chocolate milk is so much better through a straw. I lack said straw,chocolate milk is so much better through a straw i lack said straw
49,1956979900,worry,why am i so tired?,why am i so tired
50,1956980788,neutral,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",time diff and ive just been wrapped up in day to day stuff so i havent been tweeting talk soonmust sleepup in 6hrs
51,1956980883,neutral,@benballer  no way! damn that sucks B!  are you ok?,no way damn that suck b are you ok
52,1956980972,worry,sucks not being able to take days off of work or have the money to take the trip  so sad,suck not being able to take day off of work or have the money to take the trip so sad
54,1956981850,neutral,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,the recession her hotel are restructuring how the account are done add a bit more pressure in the short term but well cope
55,1956982075,neutral,@lostluna But I got dibs on Sulu...,but i got dibs on sulu
56,1956982383,sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",aww onward and upwards now yay still sad to leave i bet
57,1956982449,worry,@itsgabbith at once haha.  poor aby still gets sore!,at once haha poor aby still get sore
58,1956982576,sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,diesel yaris 70mpg so sad it not available in the u thatd be awesome
59,1956982605,sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,i want to buy this great album but unfortunately i dont hav enuff fund it quotlong time noisyquot
60,1956983160,sadness,@Pokinatcha  in all honesty...pain   blech.,in all honestypain blech
61,1956983171,sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,ok the passenger no one is alive theyre all dead you just dont know it til the end then you cry
62,1956983467,neutral,At home alone with not much to do,at home alone with not much to do
63,1956983509,worry,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,ia so much i havent really been happy with any of cook choice for single
64,1956983690,sadness,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,i fell asleep on the beach and didnt put on enough sunscreen lol
65,1956983851,worry,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,so i think my son might have the flu cause i def just cleaned up a stanky puke mess poor pumkpin
67,1956983931,neutral,I cant give @jertronic any bday nudges.,i cant give any bday nudge
68,1956984185,worry,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',and all woman who transfer their first impression sexualmaternal onto a le threatening man are themselves a weak a him
69,1956984205,neutral,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,brother bloom wont be opening this weekend in el paso ill just buy brick and enjoy that until i can watch brother bloom
70,1956984559,neutral,says I miss plurking.  http://plurk.com/p/wxion,say i miss plurking
71,1956984864,worry,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",bitten to blood by my cat on my way for a rabies bacterin seems 7 shot for 2 month never wash my cat at home again they hate water
72,1956984894,neutral,I miss Voobys!,i miss voobys
73,1956985129,neutral,@Dancing_Monk Neither are ELP!!,neither are elp
75,1956985612,worry,is sad that shin ae got married...and it wasn't to alex,is sad that shin ae got marriedand it wasnt to alex
76,1956985758,worry,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",sure you will tweet about this when youre back but news is abuzz about tr knight leaving quotconfirmedquot today muy triste
77,1956985764,sadness,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,ohh thursday i have exam all day what about wednesday
78,1956985973,neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,there wa a mix up with my dentist appt this afternoon so they rescheduled me for tomorrow 9am
79,1956986211,sadness,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",i wa just thinking about how excited i am for you guy to move but then i realized how sad i am to see you go
80,1956986359,worry,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",goooood mooorning people sun is out definitly spring now we had our first spring hail storm my car ha dimple now
81,1956986767,sadness,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,i love those itsakey usb stick we only have the 4gb in australia
82,1956987381,worry,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,fresh prince and sleepy sleep my nightly routine got ta go to dmv early tmrw
83,1956987600,hate,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,dammit hulu desktop ha totally screwed up my ability to talk to a particular port on one of our dev server so i cant watch and code
84,1956987828,worry,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,i am jealous of your mom talking to i want to see you all our twittering is making me miss you
85,1956987904,worry,I can't sleep...I keep thinking about the puppy I played with today,i cant sleepi keep thinking about the puppy i played with today
86,1956987950,worry,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,im suppposed to be sleep but i got some much to do amp i got that one part of the song stuck in my head quotyour a jerk iknowquot blaahh
87,1956988145,neutral,@lepetitagneau what's going on sweetheart?,whats going on sweetheart
88,1956988218,neutral,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",how can it be so freaking difficult to get a systemwide spellchecker shit id settle for an office suite one stupid unhelpful window
89,1956988223,worry,"Last one month due to summer, strawberry is not availble in the Chennai markets!",last one month due to summer strawberry is not availble in the chennai market
90,1956988477,neutral,@willxxmobb work at 6am. Gotta go to bed soon,work at 6am got ta go to bed soon
92,1956989514,sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep,hiii im on my ipodi cant fall asleep
93,1956989526,sadness,dont wanna work 11-830 tomorrow  but i get paid,dont wan na work 11830 tomorrow but i get paid
94,1956989560,sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,feel sad coz i wasnt able to play with the guy
95,1956989561,neutral,PrinceCharming,princecharming
96,1956989601,hate,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,cayogial i wanted to come to bz this summer not so sure anymore a teacher life in the summer suck
97,1956989914,worry,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),first ever dropped call on my mobile on a call to no le being charged for data even though i have a data pack
98,1956990288,hate,@mrgenius23 You win ... SIGH Rakeem,you win sigh rakeem
99,1956990413,neutral,Oh is that time for real?,oh is that time for real
100,1956990568,sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,darn these allergy i dont like this time of year because of this i never used to have this problem either
101,1956990729,worry,Oh no one minute too late! Oh well,oh no one minute too late oh well
102,1956991009,hate,"@soviet_star Damn, that sucks",damn that suck
103,1956991673,sadness,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,i wanted to come to bz this summer not so sure anymore a teacher life in the summer suck
104,1956991704,hate,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,this website gave me a virus when i opened it more window kept popping up
105,1956991723,worry,ahh! big scary bug flying around my room!!!!!,ahh big scary bug flying around my room
106,1956992030,sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",i wish she knew what she put me throughshe stole my heart never gave it backand occasionally she like to be like look what i have
107,1956992144,worry,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
108,1956992349,neutral,@justamedicine  That was stone cold   Crazy....  ?,that wa stone cold crazy
110,1956993080,neutral,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,shift time bbye biochem waaaaahhhhhh
111,1956993206,neutral,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,im sure some1 will cum out and play im workin through til midnight
112,1956994067,neutral,@thecreativeone I second that. I wish it rained more where I am,i second that i wish it rained more where i am
113,1956995196,sadness,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,early happy day of birth in case i dont make it very tired from therapy today n just taking my medicine misshu love ya
114,1956995505,neutral,damn it were is Eric or anyone else when you need your hair to be played with,damn it were is eric or anyone else when you need your hair to be played with
115,1956995679,neutral,I'm feel deflated. Ugh. No more dog.,im feel deflated ugh no more dog
116,1956995762,sadness,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,allergy suck duck nut lt8gt
117,1956995852,neutral,Well it almost was a good day... Guess I just retry tomorrow,well it almost wa a good day guess i just retry tomorrow
118,1956996081,hate,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,waraku is tasteless and expensive portion is so little re waraku
120,1956996470,worry,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",he died wait what about magic jack i just read it
121,1956996673,hate,@britblackbird  youstinkatrespondingtotexts!,youstinkatrespondingtotexts
122,1956996730,sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,wonder why her karma point turned into 000
124,1956996776,sadness,Is miserable  i feel like im gona cry  sux!,is miserable i feel like im gona cry sux
125,1956997143,neutral,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,well i ran out of beer so i left not sure about the eta waiting waiting waiting bleh gon na be a long nite methinks
126,1956997352,worry,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,my nose stud fell out and i cant find it look like ill have to head into amsterdam today and get a new one
127,1956997619,neutral,"claire @breakfastnt love the show, got into the office @ 5am and no radio",claire love the show got into the office 5am and no radio
129,1956998532,sadness,*sigh* I'm going to bed... I just don't feel right anymore...,sigh im going to bed i just dont feel right anymore
130,1956998538,neutral,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,what i focused on tom so much i didnt see my beloved barack oh no i must vote for both poor president only ha 626 vote
131,1956998698,neutral,@jwillock EpiCentre Wheelock Place - tourists only..,epicentre wheelock place tourist only
132,1956998704,sadness,Now I am depressed after watching so you think you can dance,now i am depressed after watching so you think you can dance
133,1957000040,sadness,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",just cross cause im stuck twiddling my thumb now ugh
134,1957000077,neutral,miss 16'th,miss 16th
135,1957000152,neutral,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",i know but like i said i have no idea how long it take for them to investigate this stuff
136,1957000290,worry,"I cant sleep, but im too sore to move",i cant sleep but im too sore to move
137,1957000314,neutral,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,awe i miss my baby
139,1957000372,neutral,what is it with chocolates? i just can never say no,what is it with chocolate i just can never say no
140,1957000788,worry,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,achieving a new appreciation on how a xml build script can really be painful and cumbersome
141,1957001049,neutral,@ether_radio i'm too awake now  ill have a nap this afternoon,im too awake now ill have a nap this afternoon
142,1957001370,worry,@omfgiselle i cant do anything,i cant do anything
143,1957001496,neutral,still needs another 6 hours of sleep,still need another 6 hour of sleep
146,1957001967,neutral,"Morning tweeple,way to early again",morning tweepleway to early again
147,1957002082,sadness,"Last day working for the Uni today, sad times",last day working for the uni today sad time
149,1957002923,worry,My head hurts so bad I could scream!,my head hurt so bad i could scream
150,1957003048,worry,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,i just go up and im so tired and my airmatras is broken somewhere and now im in even more pain
151,1957003356,worry,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,new work wellness challenge not going well i committed to not check email between 10 pm and 6 am failed on first day twice
152,1957003440,worry,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,new blog post blog auto insuran i just found that my auto insurance policy had been expired i am too careless meanw
153,1957003715,neutral,"where are all ma bestfriends at ? , MIA or wat ?",where are all ma bestfriends at mia or wat
154,1957004184,worry,oh men!!!!!!......I really can't see my face........c'mon guys!!!,oh meni really cant see my facecmon guy
155,1957004519,worry,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old",im showing my age renewed my tag last week went down 20 got my insurance renewal email today went down 100 i dont wan na be old
156,1957004606,worry,my sole supporter is not my sole supporter,my sole supporter is not my sole supporter
157,1957004749,hate,don't you hate it when you finish all your work and there's still 1.25 hours left of work time,dont you hate it when you finish all your work and there still 125 hour left of work time
158,1957005165,worry,@Emilyyy16 urgh stop it guys,urgh stop it guy
159,1957005226,sadness,is still missing her husband.    I really want him home.,is still missing her husband i really want him home
160,1957005279,sadness,I miss my puppy,i miss my puppy
163,1957005713,sadness,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),ive given up on pizza kid would never let me have my fav the hot one
164,1957005817,worry,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,up reading tabloid about other people livesthinking what im gon na do with mine when my baby leaf
165,1957006033,sadness,@BarbSchaefer yearling in pet home died... very sad for their whole family,yearling in pet home died very sad for their whole family
166,1957006074,neutral,fun in the sun hmmm hell no it's cold,fun in the sun hmmm hell no it cold
167,1957006098,worry,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,i got a giant splinter stuck up underneath my finger nail today at muppetsit hurt but i got to go to first aid for the first time
168,1957006245,sadness,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",we hate change so of course were fan for life lt3 oh and if we havent met rob by then something went horribly wrong
169,1957006307,worry,is feeling sad... for some reason..  http://plurk.com/p/wxji3,is feeling sad for some reason
170,1957006547,sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,well fuck this new pain med ha an odd warning that actually applies to me i cant take this chan is displeased
171,1957006674,sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,just uploaded my new blog a painful story about an 80 year old man who cried because he wanted to die very sad
172,1957006725,neutral,@juneyee i don't think so.  I WANT DETAILS.,i dont think so i want detail
173,1957006830,neutral,@jackgraycnn Hi...!!! Who is Mary Poppins???,hi who is mary poppins
174,1957006947,worry,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",it so addicting but it kind of a curse to do them at night time everytime i do one i feel like making music afterwards
175,1957007167,neutral,my last tweet didn't send  bad phone,my last tweet didnt send bad phone
177,1957007394,neutral,@taxidermi  I was watching Parental Control,i wa watching parental control
179,1957007633,sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,i just saw pic from this past thanksgiving and am sad because grandma wa in them
180,1957007981,worry,@jertronic it wont let me,it wont let me
181,1957008075,sadness,Took a shift tomorrow.    I don't really feel like working right now.,took a shift tomorrow i dont really feel like working right now
182,1957008193,sadness,but now i have no money for a phone,but now i have no money for a phone
183,1957008287,worry,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.,spent last night in aampe er wife tangled wheel with daughter amp hit the deck dislocation amp fracture resulted
184,1957008292,worry,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything,9 day im about ready to visit torchwood and see if theyve heard anything
187,1957008498,sadness,Too bad the Red Devils.. disappointing to say the least,too bad the red devil disappointing to say the least
189,1957008802,sadness,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",have a 3ware 9650se not fast enough for 3x x25m ssd raid5 800mhz iop on the hpt might try an adaptec 5405 12ghz
191,1957009454,worry,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",ate mandy please forgive me i really am sorry i dont wan na lose my bff
192,1957009666,hate,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,umm yeah thats probably a pretty good note to self because eeeeeewwwwwwww
193,1957010072,worry,why are plane tickets so expensive,why are plane ticket so expensive
195,1957010415,worry,Needs a job BADLY!!!,need a job badly
196,1957011291,sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.,daaammmnnnnn i do wish i wa there
197,1957011738,worry,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,went to di bella coffee roaster today and asked for a job the person i needed to speak to is on holiday fb
198,1957012476,sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,i played up until the latter part of the voodoo village part coop until i lost my usual partner
199,1957012769,sadness,is a bad friend,is a bad friend
200,1957013149,neutral,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,happy birthdayyy hope you have an awesome day didnt see you at next last night
201,1957013166,hate,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin,im doing that shit right now im on vacation and you got me workin
202,1957013488,neutral,@aiderushton ill be over in an oir,ill be over in an oir
203,1957013697,neutral,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am,guess it a no go girlie im still at the gym and work at 630am
204,1957013723,hate,would wish the severe migrains would stop!!! doc's prescriptions arent working,would wish the severe migrains would stop doc prescription arent working
206,1957013885,sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",no internet last night er wa brill there wa a massive explosion at the end of a nearby gas work er on standby
207,1957013895,hate,@tiffalo cuz airlines are super lame.,cuz airline are super lame
208,1957013896,sadness,@lenje - Still a pity it comes with no lamb though,still a pity it come with no lamb though
209,1957014267,sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,im sorry to hear that here is my optimist thing will get better for all of u
211,1957014493,hate,I'm so very tired...and have insomnia.,im so very tiredand have insomnia
212,1957014517,neutral,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,a hungry fool ill probably never see that krispy kreme again had to enjoy it they closing down
213,1957014653,neutral,@yelgiuQnayR airport? and you didnt show up tonight homo!,airport and you didnt show up tonight homo
214,1957014706,hate,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",i hate bakersfield and i hate the port let me go home already i want to start my vacation
215,1957015287,neutral,@MrRathbone what about me,what about me
216,1957015475,neutral,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",looking for desktop twitter app that will actually let you access url any suggestion i liked twittle but no linking
217,1957015719,worry,people in my house do not know how to close doors,people in my house do not know how to close door
219,1957016169,neutral,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,out with amp i am soooo hungry
220,1957016339,worry,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,i dont like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death
221,1957016697,sadness,Had to cancel wow for now,had to cancel wow for now
222,1957016818,worry,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,want to make a music profile but i dont have money i dont know how to write music i dont know how to play an instrument and no studio
223,1957017164,sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,but yeahim sad about my quotravenclawquot account i love that account to bit
224,1957017177,worry,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",it 115 am and i hear a helicopter flying over my house thats kind of weird in other news my headache is back booooo
225,1957017320,worry,@__sugar oh no  i am always here ;) &lt;3,oh no i am always here lt3
226,1957017333,neutral,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.,back from school m suhanas last day a our ft ocu wa okay im playing altnoy over and over again
227,1957017486,neutral,@ poll : was trying to get it to work in a powerpoint to no avail.,poll wa trying to get it to work in a powerpoint to no avail
230,1957017610,neutral,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",yeah it terrible cockatoo are the hardest to live with so emotional good thing he found you though
231,1957018061,sadness,Up late with nothin 2 do.....,up late with nothin 2 do
232,1957018162,worry,i think the vog is making me sicker than i think. feeling slightly achy,i think the vog is making me sicker than i think feeling slightly achy
233,1957019034,worry,i am doing homework it sux big time maths is the worst!!!!!!,i am doing homework it sux big time math is the worst
234,1957019121,neutral,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.",would have been better imo if it let you play through all 3 song provided i just start to quotget itquot and it black out
235,1957019458,neutral,#3wordsaftersex it never started...,3wordsaftersex it never started
236,1957019556,sadness,sometimes i wish things could go back to the way they were the beginning of last summer,sometimes i wish thing could go back to the way they were the beginning of last summer
237,1957019715,worry,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",i downloaded the new twitterfon update thinking they were fixing the typing problem for new tweet but no they didnt
238,1957020180,sadness,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.",i feel the same way but i guess no matter where you are there will always be meme
240,1957020390,worry,i'm sooooooooooooo confused,im sooooooooooooo confused
241,1957020593,neutral,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well",with friend like vaikonedumaran ltte didnt need enemy wrong advice at wrong time led to numerous death amp a lost cause a well
242,1957020624,worry,"Work day 7 of 7,",work day 7 of 7
244,1957020861,neutral,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",i looove guitar and playing them i think they sound magnificent if only i wa better if only
245,1957021039,worry,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",no refund but they do retrieve account take like a week just hoping the thief doesnt use hack or then it permaban
246,1957021224,neutral,@mysticnz no im not  cries LOL,no im not cry lol
247,1957021305,sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,cute malay girl came to seemy room for rent sadly think it wa for her guyfreind bit misleading and disappointing lol
249,1957021486,hate,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,i hate the new mt dew commercialthe one with a giant mosquitoit scare me and gross me out all at the same time
250,1957021631,neutral,Come on Knight... It's been well over 4 hours,come on knight it been well over 4 hour
251,1957022610,worry,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,not super keen on the drive home through the rain additional concentration required that i dont really wan na deal with
254,1957023133,worry,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",no transport for church wont be making it im crushed oh well more time for assignment i suppose my throat really hurt
